Date,Open,High,Low,Close,Adj Close,Volume
2020-11-10,339.989990,345.859985,333.440002,334.779999,328.224030,5330400
2020-11-11,337.410004,337.700012,331.070007,332.390015,325.880859,2969900
2020-11-12,329.059998,333.089996,326.299988,328.290009,321.861145,3207700
2020-11-13,330.299988,336.109985,327.339996,335.029999,328.469116,2393700
2020-11-16,341.799988,342.649994,333.170013,335.450012,328.880981,3312800
2020-11-17,333.170013,337.769989,330.720001,336.500000,329.910370,3412700
2020-11-18,336.529999,340.950012,334.859985,335.940002,329.361359,3203400
2020-11-19,335.489990,339.160004,331.420013,333.880005,327.341705,2718700
2020-11-20,334.779999,335.160004,323.000000,323.000000,316.674774,4142400
2020-11-23,326.209991,333.200012,324.369995,332.040009,325.537750,3219000
2020-11-24,336.910004,344.109985,334.119995,342.390015,335.685059,3529700
2020-11-25,343.709991,343.709991,339.339996,341.320007,334.635956,2535200
2020-11-27,342.829987,342.880005,337.609985,339.070007,332.430023,1402300
2020-11-30,337.660004,338.049988,330.179993,336.510010,329.920197,4276200
2020-12-01,339.670013,342.630005,337.619995,338.880005,332.243744,4210400
2020-12-02,336.779999,340.239990,334.000000,340.220001,333.557495,2972100
2020-12-03,338.559998,342.320007,334.119995,335.140015,328.577026,3080300
2020-12-04,336.920013,344.350006,335.799988,344.350006,337.606659,4323600
2020-12-07,343.359985,347.989990,340.049988,340.959991,334.282990,2389800
2020-12-08,338.279999,342.829987,336.700012,340.790009,334.116333,2224600
2020-12-09,340.410004,341.709991,334.690002,336.850006,330.253540,2962600
2020-12-10,334.649994,335.540009,331.190002,331.519989,325.027863,3506800
2020-12-11,327.089996,331.570007,325.529999,327.420013,321.008179,4179400
2020-12-14,329.000000,338.750000,327.589996,331.149994,324.665100,3552400
2020-12-15,333.160004,335.220001,327.619995,333.649994,327.116180,3104600
2020-12-16,333.959991,334.000000,329.250000,332.100006,325.596558,3393300
2020-12-17,334.540009,338.329987,333.399994,336.899994,330.302521,2725500
2020-12-18,336.510010,341.600006,334.350006,340.329987,333.665314,8443700
2020-12-21,333.209991,336.149994,327.239990,334.369995,327.822052,3642500
2020-12-22,334.160004,335.220001,331.600006,332.239990,325.733765,2403100
2020-12-23,334.130005,335.209991,329.029999,329.230011,322.782715,2760600
2020-12-24,330.649994,336.369995,330.350006,336.000000,329.420197,1308900
2020-12-28,337.859985,345.589996,336.869995,344.470001,337.724274,3449100
2020-12-29,347.779999,348.750000,344.760010,346.660004,339.871338,2822700
2020-12-30,348.679993,357.820007,347.209991,355.549988,348.587250,4200600
2020-12-31,355.029999,359.410004,353.250000,356.940002,349.950073,2881700
